"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_oxytoca_404821-16,FALSE,SAMN12212202,VNQQ00000000, ,,,
Klebsiella_oxytoca_502573-2009,FALSE,SAMN12212210,VNQY00000000, ,,,
Klebsiella_oxytoca_502610-17,FALSE,SAMN12212211,VNQZ00000000, ,,,
Klebsiella_oxytoca_502954-17,FALSE,SAMN12212215,VNRD00000000, ,,,
Klebsiella_oxytoca_606250-17,FALSE,SAMN12212225,VNRN00000000, ,,,
Klebsiella_oxytoca_608110-17,FALSE,SAMN12212229,VNRR00000000, ,,,
Klebsiella_oxytoca_608431-17,FALSE,SAMN12212233,VNRV00000000, ,,,
Klebsiella_oxytoca_608668-17,TRUE,SAMN12212234,VNRW00000000, ,,,
Klebsiella_oxytoca_608715-17,TRUE,SAMN12212235,VNRX00000000, ,,,
Klebsiella_oxytoca_608815-17,TRUE,SAMN12212237,VNRZ00000000, ,,,
Klebsiella_oxytoca_700456-16,TRUE,SAMN12212247,VNTI00000000, ,,,
Klebsiella_oxytoca_700570-17,FALSE,SAMN12212252,VNTM00000000, ,,,
Klebsiella_oxytoca_700765-17,FALSE,SAMN12212256,VNTQ00000000, ,,,
Klebsiella_oxytoca_701520-2009,FALSE,SAMN12212258,VNTS00000000, ,,,
Klebsiella_oxytoca_705729-17,TRUE,SAMN12212265,VNTZ00000000, ,,,
Klebsiella_oxytoca_706127-17,TRUE,SAMN12212268,VNUC00000000,Yes,,,
Klebsiella_oxytoca_708712-17,TRUE,SAMN12212272,VNUG00000000, ,,,
Klebsiella_oxytoca_708776-17,TRUE,SAMN12212273,VNUH00000000, ,,,
Klebsiella_oxytoca_708994-2009,FALSE,SAMN12212275,VNUJ00000000, ,,,
Klebsiella_oxytoca_709081-17,TRUE,SAMN12212276,VNUK00000000, ,,,
Klebsiella_oxytoca_709253-17,TRUE,SAMN12212277,VNUL00000000, ,,,
Klebsiella_oxytoca_709833-17,TRUE,SAMN12212278,VNUM00000000, ,,,
Klebsiella_oxytoca_709965-17,TRUE,SAMN12212279,VNUN00000000, ,,,
Klebsiella_oxytoca_711072-17,TRUE,SAMN12212283,VNUR00000000, ,,,
Klebsiella_oxytoca_711080-17,TRUE,SAMN12212284,VNUS00000000, ,,,
Klebsiella_oxytoca_711093-17,FALSE,SAMN12212285,VNUT00000000, ,,,
Klebsiella_oxytoca_711206-17,TRUE,SAMN12212286,VNUU00000000, ,,,
Klebsiella_oxytoca_711469-2009,TRUE,SAMN12212287,VNUV00000000, ,,,
Klebsiella_oxytoca_712881-17,TRUE,SAMN12212289,VNUX00000000, ,,,
Klebsiella_oxytoca_713447-17,FALSE,SAMN12212291,VNUZ00000000, ,,,
Klebsiella_oxytoca_713490-17,TRUE,SAMN12212292,VNVA00000000, ,,,
Klebsiella_oxytoca_722058-16,FALSE,SAMN12212296,VNVG00000000, ,,,
Klebsiella_oxytoca_DSM-5175,TRUE,SAMN12212320,VNWH00000000,Yes,,,
