replicate	number_of_strains	number_of_orthologous_cluster	sd
pseudopneumoniae_Core	72	2045.42	65.011103667
pseudopneumoniae_Pan	72	22960.38	255.86628461
pseudopneumoniae_Core	73	2041.58	62.3360537731
pseudopneumoniae_Pan	73	23072.99	239.07172543
pseudopneumoniae_Core	74	2034.86	60.1494837883
pseudopneumoniae_Pan	74	23188.28	227.704417173
pseudopneumoniae_Core	75	2026.34	52.8464227739
pseudopneumoniae_Pan	75	23311.58	219.505406767
pseudopneumoniae_Core	76	2019.24	48.7920321364
pseudopneumoniae_Pan	76	23432.07	191.478784987
pseudopneumoniae_Core	77	2012.62	44.6544017987
pseudopneumoniae_Pan	77	23557.98	167.644086087
pseudopneumoniae_Core	78	2004.05	38.9287490166
pseudopneumoniae_Pan	78	23667.93	162.795531573
pseudopneumoniae_Core	79	1998.6	37.004053832
pseudopneumoniae_Pan	79	23787.79	140.169775273
pseudopneumoniae_Core	80	1990.97	28.6497661422
pseudopneumoniae_Pan	80	23906.17	109.912697629
pseudopneumoniae_Core	81	1982.89	23.4050827813
pseudopneumoniae_Pan	81	24035.95	65.8167721785
pseudopneumoniae_Core	82	1977.0	0.0
pseudopneumoniae_Pan	82	24138.0	0.0
