replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumonia_group_Core	92	1049.51	445.281090885
pneumonia_group_Pan	92	28202.84	661.39539944
pneumonia_group_Core	93	1044.89	443.170506577
pneumonia_group_Pan	93	28329.86	658.52145022
pneumonia_group_Core	94	1040.89	441.867738017
pneumonia_group_Pan	94	28460.49	657.597604847
pneumonia_group_Core	95	1029.8	446.68687019
pneumonia_group_Pan	95	28571.55	655.106745119
pneumonia_group_Core	96	1023.65	444.136046162
pneumonia_group_Pan	96	28694.38	645.095865434
pneumonia_group_Core	97	1015.85	438.931119311
pneumonia_group_Pan	97	28803.35	633.369929425
pneumonia_group_Core	98	1004.19	442.886321645
pneumonia_group_Pan	98	28915.84	622.254943251
pneumonia_group_Core	99	997.86	440.558918194
pneumonia_group_Pan	99	29036.16	637.321029309
pneumonia_group_Core	100	994.72	439.274745006
pneumonia_group_Pan	100	29144.63	633.716334885
pneumonia_group_Core	101	991.26	437.523704958
pneumonia_group_Pan	101	29264.9	635.256522989
pneumonia_group_Core	102	987.33	435.288916813
pneumonia_group_Pan	102	29371.89	642.234597246
pneumonia_group_Core	103	974.57	438.232044812
pneumonia_group_Pan	103	29481.57	648.735913219
pneumonia_group_Core	104	969.62	435.621436112
pneumonia_group_Pan	104	29601.37	635.879228392
pneumonia_group_Core	105	966.77	434.23051148
pneumonia_group_Pan	105	29704.57	634.114772813
pneumonia_group_Core	106	964.57	433.446242457
pneumonia_group_Pan	106	29810.65	635.496567654
pneumonia_group_Core	107	961.14	431.807503872
pneumonia_group_Pan	107	29921.58	622.333482628
pneumonia_group_Core	108	957.43	429.67816456
pneumonia_group_Pan	108	30030.76	621.982799119
pneumonia_group_Core	109	952.55	427.234206847
pneumonia_group_Pan	109	30139.05	633.98014756
pneumonia_group_Core	110	948.81	425.745198329
pneumonia_group_Pan	110	30247.55	631.802617516
pneumonia_group_Core	111	945.81	424.550060535
pneumonia_group_Pan	111	30352.22	640.704168552
pneumonia_group_Core	112	933.02	426.202181599
pneumonia_group_Pan	112	30468.09	650.967665787
pneumonia_group_Core	113	931.62	425.720372545
pneumonia_group_Pan	113	30571.25	645.342566007
pneumonia_group_Core	114	926.41	421.982537435
pneumonia_group_Pan	114	30680.32	650.087976815
pneumonia_group_Core	115	923.31	421.200515076
pneumonia_group_Pan	115	30783.23	648.197945924
pneumonia_group_Core	116	919.96	420.158087391
pneumonia_group_Pan	116	30876.44	653.398137738
pneumonia_group_Core	117	915.6	417.453901647
pneumonia_group_Pan	117	30970.8	648.996147908
pneumonia_group_Core	118	912.38	415.024620474
pneumonia_group_Pan	118	31062.66	639.998847186
pneumonia_group_Core	119	897.94	414.849148969
pneumonia_group_Pan	119	31172.0	633.672060296
pneumonia_group_Core	120	893.46	412.471366764
pneumonia_group_Pan	120	31268.59	624.436339349
pneumonia_group_Core	121	889.65	410.269408438
pneumonia_group_Pan	121	31372.22	631.933043605
pneumonia_group_Core	122	879.19	413.005174181
pneumonia_group_Pan	122	31467.58	634.798900125
pneumonia_group_Core	123	876.72	412.155069846
pneumonia_group_Pan	123	31552.94	634.520461766
pneumonia_group_Core	124	873.42	410.760031649
pneumonia_group_Pan	124	31650.22	635.700756331
pneumonia_group_Core	125	870.43	409.625420476
pneumonia_group_Pan	125	31751.71	646.456546026
pneumonia_group_Core	126	867.07	408.266267404
pneumonia_group_Pan	126	31852.49	638.412429312
pneumonia_group_Core	127	864.74	407.163569588
pneumonia_group_Pan	127	31940.26	635.368391093
pneumonia_group_Core	128	858.28	403.312535883
pneumonia_group_Pan	128	32050.34	646.460767874
pneumonia_group_Core	129	855.57	401.562131058
pneumonia_group_Pan	129	32144.26	640.801944754
pneumonia_group_Core	130	853.0	400.266711081
pneumonia_group_Pan	130	32243.64	642.413052794
pneumonia_group_Core	131	850.39	399.110282879
pneumonia_group_Pan	131	32333.12	645.081069014
pneumonia_group_Core	132	848.19	397.914229326
pneumonia_group_Pan	132	32430.2	650.08391766
pneumonia_group_Core	133	846.26	396.813447857
pneumonia_group_Pan	133	32515.07	649.65845265
pneumonia_group_Core	134	834.92	398.021549165
pneumonia_group_Pan	134	32608.79	650.325292373
pneumonia_group_Core	135	831.32	395.908521757
pneumonia_group_Pan	135	32705.31	659.126963414
pneumonia_group_Core	136	810.27	399.044956239
pneumonia_group_Pan	136	32812.85	659.790502736
pneumonia_group_Core	137	807.55	397.276009218
pneumonia_group_Pan	137	32911.83	652.533923333
pneumonia_group_Core	138	804.52	395.682864931
pneumonia_group_Pan	138	33003.82	656.59539109
pneumonia_group_Core	139	801.53	394.459920778
pneumonia_group_Pan	139	33090.91	657.373654705
pneumonia_group_Core	140	799.63	393.808066322
pneumonia_group_Pan	140	33181.35	649.297903508
pneumonia_group_Core	141	797.38	392.755796393
pneumonia_group_Pan	141	33266.13	650.570559663
pneumonia_group_Core	142	793.1	390.093591334
pneumonia_group_Pan	142	33365.25	649.098380448
pneumonia_group_Core	143	781.55	390.622589593
pneumonia_group_Pan	143	33445.2	643.377136678
pneumonia_group_Core	144	778.08	388.751326171
pneumonia_group_Pan	144	33546.81	652.413146633
pneumonia_group_Core	145	776.35	387.794929699
pneumonia_group_Pan	145	33631.03	655.904146274
pneumonia_group_Core	146	773.59	386.681318271
pneumonia_group_Pan	146	33727.92	650.409958103
pneumonia_group_Core	147	772.29	386.323473141
pneumonia_group_Pan	147	33812.38	651.524900215
