replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumoniae_Pan	107	26937.19	464.581740816
pneumoniae_Core	108	682.97	416.302425047
pneumoniae_Pan	108	27026.63	455.441448597
pneumoniae_Core	109	679.93	413.658004999
pneumoniae_Pan	109	27104.61	460.053168558
pneumoniae_Core	110	674.57	409.129961137
pneumoniae_Pan	110	27204.68	452.040769843
pneumoniae_Core	111	663.43	406.371191277
pneumoniae_Pan	111	27293.45	460.002855969
pneumoniae_Core	112	660.87	405.365949606
pneumoniae_Pan	112	27383.61	457.885572933
pneumoniae_Core	113	656.99	402.911367301
pneumoniae_Pan	113	27473.86	451.610872765
pneumoniae_Core	114	645.61	399.386977629
pneumoniae_Pan	114	27568.51	458.052715198
pneumoniae_Core	115	636.02	397.520715938
pneumoniae_Pan	115	27654.24	460.990956961
pneumoniae_Core	116	633.0	396.089282864
pneumoniae_Pan	116	27737.85	460.352981418
pneumoniae_Core	117	630.88	394.61189237
pneumoniae_Pan	117	27822.67	455.291160797
pneumoniae_Core	118	614.09	393.061575202
pneumoniae_Pan	118	27904.64	460.644863642
pneumoniae_Core	119	610.56	390.9827188
pneumoniae_Pan	119	27989.58	465.499047905
pneumoniae_Core	120	600.85	388.350341187
pneumoniae_Pan	120	28078.32	453.478883301
pneumoniae_Core	121	598.08	386.887339674
pneumoniae_Pan	121	28162.66	463.996103863
pneumoniae_Core	122	595.04	384.646172995
pneumoniae_Pan	122	28242.16	465.498758752
pneumoniae_Core	123	591.47	381.773269232
pneumoniae_Pan	123	28325.11	460.887728086
pneumoniae_Core	124	590.3	381.025681549
pneumoniae_Pan	124	28405.27	460.17103027
pneumoniae_Core	125	580.93	378.92203037
pneumoniae_Pan	125	28487.12	466.199341055
pneumoniae_Core	126	578.29	376.650296562
pneumoniae_Pan	126	28574.55	459.852267038
pneumoniae_Core	127	576.11	374.402401034
pneumoniae_Pan	127	28653.67	453.869255513
pneumoniae_Core	128	573.45	373.480558396
pneumoniae_Pan	128	28738.7	446.482351275
pneumoniae_Core	129	571.57	372.018070932
pneumoniae_Pan	129	28810.06	452.07160539
pneumoniae_Core	130	546.59	364.604528085
pneumoniae_Pan	130	28886.62	446.945897844
pneumoniae_Core	131	545.26	363.709873938
pneumoniae_Pan	131	28961.1	444.520944388
pneumoniae_Core	132	543.82	362.893135234
pneumoniae_Pan	132	29036.15	439.191379128
pneumoniae_Core	133	532.74	356.727252113
pneumoniae_Pan	133	29119.6	433.518327179
pneumoniae_Core	134	531.33	355.989748588
pneumoniae_Pan	134	29202.92	435.914594387
pneumoniae_Core	135	528.81	354.792043175
pneumoniae_Pan	135	29287.04	421.226967798
pneumoniae_Core	136	519.55	351.912840772
pneumoniae_Pan	136	29380.35	413.126478817
pneumoniae_Core	137	516.28	348.951947408
pneumoniae_Pan	137	29452.0	412.788759537
pneumoniae_Core	138	511.7	343.947597753
pneumoniae_Pan	138	29531.89	405.266946469
pneumoniae_Core	139	496.48	340.07306509
pneumoniae_Pan	139	29618.12	392.005746897
pneumoniae_Core	140	495.17	338.996314287
pneumoniae_Pan	140	29691.64	390.967582288
pneumoniae_Core	141	494.2	338.9790554
pneumoniae_Pan	141	29756.43	389.553905256
pneumoniae_Core	142	482.97	332.328285134
pneumoniae_Pan	142	29830.6	387.189850074
pneumoniae_Core	143	467.37	326.226597781
pneumoniae_Pan	143	29906.55	393.003622757
pneumoniae_Core	144	465.88	325.502051606
pneumoniae_Pan	144	29976.3	401.022355985
pneumoniae_Core	145	463.84	323.156547822
pneumoniae_Pan	145	30038.96	394.271934583
pneumoniae_Core	146	449.04	317.49853291
pneumoniae_Pan	146	30116.7	396.390047806
pneumoniae_Core	147	447.28	316.281143289
pneumoniae_Pan	147	30185.11	386.71156939
pneumoniae_Core	148	438.67	310.989101256
pneumoniae_Pan	148	30261.33	375.80561611
pneumoniae_Core	149	437.23	310.195611026
pneumoniae_Pan	149	30332.26	379.269050148
pneumoniae_Core	150	427.79	302.352816921
pneumoniae_Pan	150	30418.36	376.730846096
pneumoniae_Core	151	418.95	296.214158169
pneumoniae_Pan	151	30497.5	379.293013381
pneumoniae_Core	152	417.58	294.950442617
pneumoniae_Pan	152	30571.11	374.729286152
pneumoniae_Core	153	416.08	293.969409293
pneumoniae_Pan	153	30643.01	350.11539512
pneumoniae_Core	154	414.04	292.383033707
pneumoniae_Pan	154	30718.69	354.132198338
pneumoniae_Core	155	412.59	292.20349399
pneumoniae_Pan	155	30786.7	360.16411537
pneumoniae_Core	156	411.88	292.083388093
pneumoniae_Pan	156	30855.32	357.738951751
pneumoniae_Core	157	410.39	291.3353015
pneumoniae_Pan	157	30928.77	343.32884688
pneumoniae_Core	158	408.37	290.218009607
pneumoniae_Pan	158	31001.25	335.379527551
pneumoniae_Core	159	405.93	287.185767579
pneumoniae_Pan	159	31075.48	330.95632582
pneumoniae_Core	160	397.94	281.680095853
pneumoniae_Pan	160	31140.14	338.799233175
pneumoniae_Core	161	396.49	280.900711818
pneumoniae_Pan	161	31213.66	340.915421182
pneumoniae_Core	162	389.13	275.858356952
pneumoniae_Pan	162	31280.06	336.763056762
pneumoniae_Core	163	388.13	274.982168695
pneumoniae_Pan	163	31342.01	342.758705068
pneumoniae_Core	164	380.46	270.052380845
pneumoniae_Pan	164	31416.15	339.437928788
pneumoniae_Core	165	378.73	269.076675132
pneumoniae_Pan	165	31477.43	340.929501657
pneumoniae_Core	166	376.81	267.63649583
pneumoniae_Pan	166	31537.49	334.822116802
pneumoniae_Core	167	363.12	258.553022802
pneumoniae_Pan	167	31617.17	330.684927234
pneumoniae_Core	168	361.14	257.292907792
pneumoniae_Pan	168	31684.9	324.621579689
pneumoniae_Core	169	360.46	257.143633792
pneumoniae_Pan	169	31754.33	326.531378431
pneumoniae_Core	170	358.89	255.721328598
pneumoniae_Pan	170	31821.8	324.096590541
pneumoniae_Core	171	357.25	254.502391934
pneumoniae_Pan	171	31899.62	325.752598762
pneumoniae_Core	172	356.13	254.707622776
pneumoniae_Pan	172	31973.28	324.794368178
pneumoniae_Core	173	355.39	253.953534923
pneumoniae_Pan	173	32038.55	326.65306902
pneumoniae_Core	174	354.01	252.481860537
pneumoniae_Pan	174	32101.83	322.002952005
pneumoniae_Core	175	339.67	240.071491644
pneumoniae_Pan	175	32168.29	320.796829629
pneumoniae_Core	176	337.92	237.985196178
pneumoniae_Pan	176	32230.33	322.861458059
pneumoniae_Core	177	331.04	233.348062773
pneumoniae_Pan	177	32292.41	324.331746673
pneumoniae_Core	178	323.92	227.912820175
pneumoniae_Pan	178	32353.58	322.533910775
pneumoniae_Core	179	322.79	227.551325859
pneumoniae_Pan	179	32414.07	325.44441169
pneumoniae_Core	180	321.11	225.119430303
pneumoniae_Pan	180	32475.65	325.272635646
pneumoniae_Core	181	314.24	218.879195905
pneumoniae_Pan	181	32538.69	320.111970879
pneumoniae_Core	182	313.55	218.491481527
pneumoniae_Pan	182	32607.32	306.149306058
pneumoniae_Core	183	312.74	218.47959264
pneumoniae_Pan	183	32666.31	302.002870682
pneumoniae_Core	184	306.26	212.649411944
pneumoniae_Pan	184	32724.75	302.271148971
pneumoniae_Core	185	299.86	207.047097058
pneumoniae_Pan	185	32793.96	303.511381006
pneumoniae_Core	186	298.95	206.366875976
pneumoniae_Pan	186	32854.13	293.324791145
pneumoniae_Core	187	298.0	206.254551465
pneumoniae_Pan	187	32914.09	291.491889939
pneumoniae_Core	188	297.29	206.270176952
pneumoniae_Pan	188	32976.47	291.313661025
pneumoniae_Core	189	296.5	205.222781386
pneumoniae_Pan	189	33046.04	280.03692328
pneumoniae_Core	190	295.42	204.01192024
pneumoniae_Pan	190	33104.28	277.025055907
pneumoniae_Core	191	294.67	203.474472846
pneumoniae_Pan	191	33160.35	268.673049449
pneumoniae_Core	192	276.31	184.066004194
pneumoniae_Pan	192	33226.52	264.972394034
pneumoniae_Core	193	269.28	176.372281269
pneumoniae_Pan	193	33297.32	265.492029259
pneumoniae_Core	194	268.32	175.772516623
pneumoniae_Pan	194	33351.55	254.241710779
pneumoniae_Core	195	262.2	168.997928981
pneumoniae_Pan	195	33416.22	248.323602583
pneumoniae_Core	196	255.76	160.92427536
pneumoniae_Pan	196	33479.82	243.90138909
pneumoniae_Core	197	254.91	160.921974572
pneumoniae_Pan	197	33536.18	235.829742823
pneumoniae_Core	198	248.31	153.513562593
pneumoniae_Pan	198	33602.53	233.213569717
pneumoniae_Core	199	246.95	151.721545932
pneumoniae_Pan	199	33665.07	226.002489146
pneumoniae_Core	200	241.07	143.594098416
pneumoniae_Pan	200	33718.44	220.174082035
pneumoniae_Core	201	240.14	143.3494346
pneumoniae_Pan	201	33782.42	213.008458987
pneumoniae_Core	202	239.35	143.194718827
pneumoniae_Pan	202	33842.96	197.340108442
pneumoniae_Core	203	238.72	142.652240081
pneumoniae_Pan	203	33909.36	185.36334697
pneumoniae_Core	204	237.97	142.604029045
pneumoniae_Pan	204	33971.36	178.811326263
pneumoniae_Core	205	231.7	131.915995997
pneumoniae_Pan	205	34024.91	173.512598678
pneumoniae_Core	206	225.6	121.068823402
pneumoniae_Pan	206	34081.07	166.152174527
pneumoniae_Core	207	219.33	109.291175765
pneumoniae_Pan	207	34141.05	160.926341846
pneumoniae_Core	208	218.5	109.323876624
pneumoniae_Pan	208	34191.33	164.573695043
pneumoniae_Core	209	217.98	109.422390762
pneumoniae_Pan	209	34251.34	155.901393195
pneumoniae_Core	210	217.44	109.417029753
pneumoniae_Pan	210	34308.38	147.715048658
pneumoniae_Core	211	216.76	109.100148488
pneumoniae_Pan	211	34358.27	139.600276146
pneumoniae_Core	212	210.57	94.6457875449
pneumoniae_Pan	212	34419.73	130.354965767
pneumoniae_Core	213	204.76	79.3523937887
pneumoniae_Pan	213	34482.17	115.303257109
pneumoniae_Core	214	203.98	78.8414840043
pneumoniae_Pan	214	34537.72	106.798977523
pneumoniae_Core	215	198.13	57.4942875423
pneumoniae_Pan	215	34595.11	87.2314043221
pneumoniae_Core	216	197.38	57.5261297151
pneumoniae_Pan	216	34649.08	79.9790822653
pneumoniae_Core	217	196.86	57.5491129384
pneumoniae_Pan	217	34703.43	77.1830622611
pneumoniae_Core	218	195.84	52.6178144738
pneumoniae_Pan	218	34758.24	57.734412615
pneumoniae_Core	219	190.0	0.0
pneumoniae_Pan	219	34816.0	0.0
