replicate	number_of_strains	number_of_orthologous_cluster	sd
all_Core	129	715.05	295.329963769
all_Pan	129	39234.38	927.387424758
all_Core	130	713.33	294.85311784
all_Pan	130	39348.07	934.004317495
all_Core	131	711.86	295.151826015
all_Pan	131	39450.15	935.61685935
all_Core	132	710.2	295.334115876
all_Pan	132	39563.61	927.765022999
all_Core	133	707.15	293.829827451
all_Pan	133	39671.28	928.869539602
all_Core	134	704.15	292.559408497
all_Pan	134	39800.5	926.740260267
all_Core	135	703.12	292.15305167
all_Pan	135	39914.83	917.98740792
all_Core	136	694.7	294.196108064
all_Pan	136	40039.45	918.570719923
all_Core	137	692.23	292.629453576
all_Pan	137	40152.17	919.07886555
all_Core	138	690.47	291.673223145
all_Pan	138	40250.84	925.630236325
all_Core	139	687.49	290.472838489
all_Pan	139	40367.36	915.290462312
all_Core	140	685.19	289.766205587
all_Pan	140	40484.52	930.182600138
all_Core	141	683.62	289.749642968
all_Pan	141	40590.64	931.611544798
all_Core	142	682.4	289.476527546
all_Pan	142	40693.7	917.090742511
all_Core	143	680.84	288.977982552
all_Pan	143	40799.51	917.798523588
all_Core	144	679.29	288.521898476
all_Pan	144	40906.87	891.021331451
all_Core	145	677.52	288.121206439
all_Pan	145	41005.03	901.591542274
all_Core	146	667.83	287.766434978
all_Pan	146	41113.15	909.325523396
all_Core	147	660.18	290.154902767
all_Pan	147	41219.75	900.575042681
all_Core	148	658.61	289.433753906
all_Pan	148	41329.51	903.937027619
all_Core	149	657.01	288.698787493
all_Pan	149	41423.38	906.029842555
all_Core	150	654.61	287.355594865
all_Pan	150	41538.01	897.688080516
all_Core	151	652.46	286.22195653
all_Pan	151	41641.07	913.77591624
all_Core	152	651.46	285.912413861
all_Pan	152	41740.85	912.11267259
all_Core	153	644.22	287.184281603
all_Pan	153	41849.25	905.325205382
all_Core	154	640.85	285.018573956
all_Pan	154	41961.14	888.930109964
all_Core	155	633.89	287.144454761
all_Pan	155	42053.25	897.413041748
all_Core	156	627.14	289.250100086
all_Pan	156	42160.5	890.27832165
all_Core	157	625.43	288.447543065
all_Pan	157	42266.49	871.487595953
all_Core	158	618.34	289.966695329
all_Pan	158	42362.42	879.970319727
all_Core	159	617.41	289.769325326
all_Pan	159	42468.42	865.464640294
all_Core	160	608.43	289.798973601
all_Pan	160	42569.63	875.114674257
all_Core	161	607.06	289.415266356
all_Pan	161	42662.27	874.104946274
all_Core	162	605.31	288.638586991
all_Pan	162	42769.18	872.256170858
all_Core	163	603.44	287.818773536
all_Pan	163	42856.35	867.080300491
all_Core	164	601.76	287.156442379
all_Pan	164	42950.75	869.896975222
all_Core	165	600.39	286.401707223
all_Pan	165	43045.31	866.006105002
all_Core	166	598.4	285.242212865
all_Pan	166	43140.66	859.197814476
all_Core	167	597.21	284.5446993
all_Pan	167	43245.79	850.791047144
all_Core	168	595.31	283.568711074
all_Pan	168	43345.5	839.334111067
all_Core	169	594.5	283.142561266
all_Pan	169	43446.51	840.056492088
all_Core	170	585.7	282.341477647
all_Pan	170	43556.16	834.832434923
all_Core	171	584.01	281.652711508
all_Pan	171	43663.43	832.292920251
all_Core	172	582.75	280.864464644
all_Pan	172	43748.17	828.009529595
all_Core	173	575.96	281.978755228
all_Pan	173	43841.69	820.174599643
all_Core	174	575.14	281.538346234
all_Pan	174	43932.3	819.307933563
all_Core	175	574.5	281.133758201
all_Pan	175	44017.96	825.751692944
all_Core	176	568.36	282.649058728
all_Pan	176	44109.89	830.119773226
all_Core	177	562.44	284.295737569
all_Pan	177	44207.75	838.606324505
all_Core	178	561.43	284.013635412
all_Pan	178	44299.5	839.606794875
all_Core	179	554.27	284.536354619
all_Pan	179	44400.9	834.967789798
all_Core	180	553.25	284.042650847
all_Pan	180	44498.59	837.326198026
all_Core	181	552.44	283.669678323
all_Pan	181	44583.34	839.664602326
all_Core	182	551.99	283.573112089
all_Pan	182	44667.78	833.444486214
all_Core	183	549.7	281.756969745
all_Pan	183	44759.85	826.785236624
all_Core	184	547.88	280.467049045
all_Pan	184	44853.8	833.38310518
all_Core	185	546.71	279.68554825
all_Pan	185	44943.37	829.627080742
all_Core	186	545.94	279.279817388
all_Pan	186	45033.69	831.450103073
all_Core	187	545.15	278.763892031
all_Pan	187	45121.5	830.238983667
all_Core	188	538.86	279.849245845
all_Pan	188	45211.71	827.29686685
all_Core	189	537.88	279.736957873
all_Pan	189	45301.02	824.929427042
all_Core	190	536.61	279.340612694
all_Pan	190	45387.53	824.37891112
all_Core	191	535.71	278.932905732
all_Pan	191	45472.98	822.411757941
all_Core	192	534.7	278.38388962
all_Pan	192	45573.93	818.984471831
all_Core	193	533.31	278.113634869
all_Pan	193	45665.84	821.701402214
all_Core	194	527.16	278.702734827
all_Pan	194	45755.19	818.872733641
all_Core	195	526.13	278.169540209
all_Pan	195	45842.91	812.668408331
all_Core	196	525.53	277.894960552
all_Pan	196	45925.79	813.651882503
all_Core	197	524.29	276.991490664
all_Pan	197	46016.18	822.910024
all_Core	198	516.97	276.044976589
all_Pan	198	46113.97	817.471644218
all_Core	199	515.34	274.963532855
all_Pan	199	46210.48	802.575435458
all_Core	200	513.19	273.193143948
all_Pan	200	46304.88	796.19225417
all_Core	201	507.5	273.958445754
all_Pan	201	46390.77	789.939666747
all_Core	202	506.48	273.338013456
all_Pan	202	46480.66	788.06237342
